"Criteria performance report #5833ffeaa3993 (Nov 21, 2016)"
Campaign ID,Campaign,Impressions,Clicks,Conversions,CTR,Device,Quality score,Cost
686258044,Lancaster Lincoln,3,0,0.0,0.00%,Mobile devices with full browsers,7,0
686258044,Lancaster Lincoln,11,0,0.0,0.00%,Mobile devices with full browsers, --,0
686258044,Lancaster Lincoln,2,0,0.0,0.00%,Mobile devices with full browsers, --,0
686258044,Lancaster Lincoln,1,0,0.0,0.00%,Computers, --,0
686258044,Lancaster Lincoln,1,0,0.0,0.00%,Tablets with full browsers, --,0
686258044,Lancaster Lincoln,8,0,0.0,0.00%,Mobile devices with full browsers, --,0
686258044,Lancaster Lincoln,1,0,0.0,0.00%,Tablets with full browsers, --,0
686258044,Lancaster Lincoln,6,0,0.0,0.00%,Computers, --,0
686258044,Lancaster Lincoln,3,0,0.0,0.00%,Mobile devices with full browsers, --,0
353227521,Vinhomes  Golden River,1,0,0.0,0.00%,Mobile devices with full browsers,4,0
686258044,Lancaster Lincoln,139,0,0.0,0.00%,Tablets with full browsers, --,0
686258044,Lancaster Lincoln,13,0,0.0,0.00%,Mobile devices with full browsers, --,0
686258044,Lancaster Lincoln,2,0,0.0,0.00%,Tablets with full browsers, --,0
614968061,Remarketing Vinhomes,196,1,0.0,0.51%,Computers, --,433000000
686258044,Lancaster Lincoln,70,1,0.0,1.43%,Mobile devices with full browsers, --,4732000000
353227521,Vinhomes  Golden River,1,0,0.0,0.00%,Computers,5,0
353227521,Vinhomes  Golden River,1,1,0.0,100.00%,Tablets with full browsers,8,412000000
686258044,Lancaster Lincoln,1,0,0.0,0.00%,Tablets with full browsers, --,0
686258044,Lancaster Lincoln,6,0,0.0,0.00%,Computers, --,0
686258044,Lancaster Lincoln,2,1,0.0,50.00%,Computers, --,3315000000
686258044,Lancaster Lincoln,4,0,0.0,0.00%,Mobile devices with full browsers, --,0
353227521,Vinhomes  Golden River,1,0,0.0,0.00%,Mobile devices with full browsers,5,0
686258044,Lancaster Lincoln,11,0,0.0,0.00%,Mobile devices with full browsers, --,0
686258044,Lancaster Lincoln,6,0,0.0,0.00%,Mobile devices with full browsers, --,0
614968061,Remarketing Vinhomes,364,1,0.0,0.27%,Mobile devices with full browsers, --,2233000000
614968061,Remarketing Vinhomes,10,0,0.0,0.00%,Tablets with full browsers, --,0
686258044,Lancaster Lincoln,10,0,0.0,0.00%,Mobile devices with full browsers, --,0
686258044,Lancaster Lincoln,39,0,0.0,0.00%,Computers, --,0
686258044,Lancaster Lincoln,7,0,0.0,0.00%,Computers, --,0
686258044,Lancaster Lincoln,2234,30,0.0,1.34%,Mobile devices with full browsers, --,49474000000
686258044,Lancaster Lincoln,35,1,0.0,2.86%,Computers,6,5950000000
686258044,Lancaster Lincoln,34,3,0.0,8.82%,Mobile devices with full browsers,6,20029000000
686258044,Lancaster Lincoln,431,0,0.0,0.00%,Computers, --,0
686258044,Lancaster Lincoln,9,0,0.0,0.00%,Mobile devices with full browsers, --,0
353227521,Vinhomes  Golden River,1,0,0.0,0.00%,Mobile devices with full browsers,5,0
353227521,Vinhomes  Golden River,1,1,0.0,100.00%,Tablets with full browsers,6,5643000000
353227521,Vinhomes  Golden River,1,0,0.0,0.00%,Tablets with full browsers, --,0
686258044,Lancaster Lincoln,1,0,0.0,0.00%,Tablets with full browsers, --,0
686258044,Lancaster Lincoln,1,0,0.0,0.00%,Tablets with full browsers, --,0
686258044,Lancaster Lincoln,7,1,0.0,14.29%,Computers, --,4894000000
686258044,Lancaster Lincoln,5,0,0.0,0.00%,Mobile devices with full browsers, --,0
686258044,Lancaster Lincoln,1,0,0.0,0.00%,Tablets with full browsers, --,0
686258044,Lancaster Lincoln,8,0,0.0,0.00%,Computers, --,0
686258044,Lancaster Lincoln,10,0,0.0,0.00%,Mobile devices with full browsers, --,0
700963872,Khai trương nhà mãu,424,3,0.0,0.71%,Computers, --,5365000000
686258044,Lancaster Lincoln,2,0,0.0,0.00%,Tablets with full browsers,8,0
624978647,Campaign #1,1,0,0.0,0.00%,Mobile devices with full browsers,5,0
353227521,Vinhomes  Golden River,1,0,0.0,0.00%,Tablets with full browsers, --,0
686258044,Lancaster Lincoln,2,0,0.0,0.00%,Computers, --,0
686258044,Lancaster Lincoln,1,0,0.0,0.00%,Computers, --,0
353227521,Vinhomes  Golden River,1,0,0.0,0.00%,Computers, --,0
614968061,Remarketing Vinhomes,36,0,0.0,0.00%,Computers, --,0
700963872,Khai trương nhà mãu,45,0,0.0,0.00%,Tablets with full browsers, --,0
686258044,Lancaster Lincoln,4,0,0.0,0.00%,Mobile devices with full browsers, --,0
686258044,Lancaster Lincoln,1,0,0.0,0.00%,Tablets with full browsers, --,0
686258044,Lancaster Lincoln,5,0,0.0,0.00%,Computers, --,0
686258044,Lancaster Lincoln,12,0,0.0,0.00%,Mobile devices with full browsers, --,0
686258044,Lancaster Lincoln,14,0,0.0,0.00%,Mobile devices with full browsers, --,0
353227521,Vinhomes  Golden River,6,0,0.0,0.00%,Computers,6,0
686258044,Lancaster Lincoln,2,0,0.0,0.00%,Mobile devices with full browsers, --,0
686258044,Lancaster Lincoln,1,0,0.0,0.00%,Mobile devices with full browsers,8,0
353227521,Vinhomes  Golden River,1,0,0.0,0.00%,Tablets with full browsers,6,0
686258044,Lancaster Lincoln,2,0,0.0,0.00%,Tablets with full browsers, --,0
686258044,Lancaster Lincoln,1,0,0.0,0.00%,Tablets with full browsers, --,0
686258044,Lancaster Lincoln,1,0,0.0,0.00%,Computers,8,0
686258044,Lancaster Lincoln,1,0,0.0,0.00%,Tablets with full browsers,8,0
614968061,Remarketing Vinhomes,26,0,0.0,0.00%,Mobile devices with full browsers, --,0
686258044,Lancaster Lincoln,1,0,0.0,0.00%,Computers,7,0
686258044,Lancaster Lincoln,11,0,0.0,0.00%,Mobile devices with full browsers, --,0
353227521,Vinhomes  Golden River,2,0,0.0,0.00%,Computers,1,0
686258044,Lancaster Lincoln,11,0,0.0,0.00%,Mobile devices with full browsers,6,0
686258044,Lancaster Lincoln,3,1,0.0,33.33%,Mobile devices with full browsers,5,2074000000
686258044,Lancaster Lincoln,5,2,0.0,40.00%,Computers, --,8923000000
686258044,Lancaster Lincoln,6,1,0.0,16.67%,Computers,5,3332000000
686258044,Lancaster Lincoln,2,0,0.0,0.00%,Tablets with full browsers, --,0
686258044,Lancaster Lincoln,1,0,0.0,0.00%,Mobile devices with full browsers, --,0
686258044,Lancaster Lincoln,1,0,0.0,0.00%,Computers, --,0
686258044,Lancaster Lincoln,17,0,0.0,0.00%,Computers, --,0
686258044,Lancaster Lincoln,4,0,0.0,0.00%,Tablets with full browsers,6,0
686258044,Lancaster Lincoln,13,1,0.0,7.69%,Mobile devices with full browsers,6,7899000000
686258044,Lancaster Lincoln,1,0,0.0,0.00%,Computers, --,0
353227521,Vinhomes  Golden River,1,0,0.0,0.00%,Mobile devices with full browsers,7,0
686258044,Lancaster Lincoln,4,1,0.0,25.00%,Computers,6,5855000000
686258044,Lancaster Lincoln,4,0,0.0,0.00%,Tablets with full browsers, --,0
624978647,Campaign #1,2,0,0.0,0.00%,Computers,6,0
686258044,Lancaster Lincoln,13,0,0.0,0.00%,Tablets with full browsers, --,0
686258044,Lancaster Lincoln,79,0,0.0,0.00%,Mobile devices with full browsers, --,0
686258044,Lancaster Lincoln,14,2,0.0,14.29%,Computers, --,9674000000
686258044,Lancaster Lincoln,2,0,0.0,0.00%,Computers, --,0
686258044,Lancaster Lincoln,3,0,0.0,0.00%,Computers, --,0
686258044,Lancaster Lincoln,5,0,0.0,0.00%,Computers, --,0
686258044,Lancaster Lincoln,6,0,0.0,0.00%,Tablets with full browsers, --,0
686258044,Lancaster Lincoln,1,0,0.0,0.00%,Tablets with full browsers, --,0
624978647,Campaign #1,2,0,0.0,0.00%,Tablets with full browsers,6,0
686258044,Lancaster Lincoln,19,0,0.0,0.00%,Mobile devices with full browsers, --,0
686258044,Lancaster Lincoln,13,1,0.0,7.69%,Mobile devices with full browsers, --,4823000000
624978647,Campaign #1,2,0,0.0,0.00%,Mobile devices with full browsers,6,0
686258044,Lancaster Lincoln,1,0,0.0,0.00%,Computers, --,0
686258044,Lancaster Lincoln,2,0,0.0,0.00%,Tablets with full browsers, --,0
686258044,Lancaster Lincoln,1,0,0.0,0.00%,Computers, --,0
686258044,Lancaster Lincoln,1,0,0.0,0.00%,Mobile devices with full browsers, --,0
686258044,Lancaster Lincoln,1,0,0.0,0.00%,Tablets with full browsers, --,0
686258044,Lancaster Lincoln,12,0,0.0,0.00%,Mobile devices with full browsers, --,0
686258044,Lancaster Lincoln,4,0,0.0,0.00%,Tablets with full browsers,6,0
686258044,Lancaster Lincoln,1,0,0.0,0.00%,Tablets with full browsers, --,0
686258044,Lancaster Lincoln,3,0,0.0,0.00%,Tablets with full browsers, --,0
686258044,Lancaster Lincoln,25,1,0.0,4.00%,Computers,8,3573000000
353227521,Vinhomes  Golden River,2,0,0.0,0.00%,Mobile devices with full browsers,1,0
686258044,Lancaster Lincoln,6,0,0.0,0.00%,Mobile devices with full browsers,8,0
686258044,Lancaster Lincoln,1,0,0.0,0.00%,Computers, --,0
686258044,Lancaster Lincoln,1,0,0.0,0.00%,Computers, --,0
686258044,Lancaster Lincoln,1,0,0.0,0.00%,Mobile devices with full browsers, --,0
686258044,Lancaster Lincoln,7,0,0.0,0.00%,Computers,6,0
686258044,Lancaster Lincoln,1,0,0.0,0.00%,Tablets with full browsers, --,0
624978647,Campaign #1,9,2,0.0,22.22%,Mobile devices with full browsers,6,6023000000
686258044,Lancaster Lincoln,2,2,0.0,100.00%,Tablets with full browsers, --,9672000000
624978647,Campaign #1,1,0,0.0,0.00%,Tablets with full browsers,6,0
686258044,Lancaster Lincoln,1,0,0.0,0.00%,Tablets with full browsers, --,0
686258044,Lancaster Lincoln,9,1,0.0,11.11%,Computers, --,4981000000
686258044,Lancaster Lincoln,5,1,0.0,20.00%,Computers, --,3577000000
686258044,Lancaster Lincoln,1,0,0.0,0.00%,Mobile devices with full browsers, --,0
686258044,Lancaster Lincoln,10,3,0.0,30.00%,Mobile devices with full browsers, --,15958000000
686258044,Lancaster Lincoln,1,0,0.0,0.00%,Tablets with full browsers, --,0
686258044,Lancaster Lincoln,1,1,0.0,100.00%,Computers,3,2335000000
686258044,Lancaster Lincoln,21,0,0.0,0.00%,Mobile devices with full browsers, --,0
353227521,Vinhomes  Golden River,1,1,0.0,100.00%,Mobile devices with full browsers, --,9614000000
686258044,Lancaster Lincoln,17,1,0.0,5.88%,Mobile devices with full browsers, --,4898000000
686258044,Lancaster Lincoln,3,0,0.0,0.00%,Mobile devices with full browsers, --,0
686258044,Lancaster Lincoln,18,3,0.0,16.67%,Mobile devices with full browsers, --,11865000000
686258044,Lancaster Lincoln,1,0,0.0,0.00%,Mobile devices with full browsers, --,0
686258044,Lancaster Lincoln,2,0,0.0,0.00%,Mobile devices with full browsers,3,0
686258044,Lancaster Lincoln,2,1,0.0,50.00%,Tablets with full browsers, --,4961000000
686258044,Lancaster Lincoln,3,0,0.0,0.00%,Tablets with full browsers, --,0
686258044,Lancaster Lincoln,1,0,0.0,0.00%,Tablets with full browsers,8,0
686258044,Lancaster Lincoln,1,0,0.0,0.00%,Mobile devices with full browsers, --,0
686258044,Lancaster Lincoln,2,0,0.0,0.00%,Tablets with full browsers, --,0
686258044,Lancaster Lincoln,1,0,0.0,0.00%,Mobile devices with full browsers, --,0
686258044,Lancaster Lincoln,1,0,0.0,0.00%,Computers, --,0
686258044,Lancaster Lincoln,3,0,0.0,0.00%,Mobile devices with full browsers, --,0
686258044,Lancaster Lincoln,1,0,0.0,0.00%,Mobile devices with full browsers, --,0
686258044,Lancaster Lincoln,2,0,0.0,0.00%,Mobile devices with full browsers, --,0
Total, --,9106,112,0.0,1.23%, --, --,406547000000
